"subjectID","wave","task","run","nVols","percent"
"TAG001",1,"DSD",1,1,0.4
"TAG001",1,"DSD",2,0,0
"TAG001",1,"rest",1,0,0
"TAG001",1,"rest",2,0,0
"TAG001",1,"SVC",1,0,0
"TAG001",1,"SVC",2,0,0
"TAG002",1,"DSD",1,18,8
"TAG002",1,"DSD",2,103,45.8
"TAG002",1,"rest",1,0,0
"TAG002",1,"rest",2,2,0.7
"TAG002",1,"SVC",1,0,0
"TAG002",1,"SVC",2,9,5
"TAG004",1,"DSD",1,30,13.3
"TAG004",1,"DSD",2,57,25.3
"TAG004",1,"rest",1,13,4.8
"TAG004",1,"rest",2,1,0.4
"TAG004",1,"SVC",1,20,11.1
"TAG004",1,"SVC",2,81,46.3
"TAG005",1,"DSD",1,1,0.4
"TAG005",1,"DSD",2,2,1.1
"TAG005",1,"rest",1,0,0
"TAG005",1,"rest",2,0,0
"TAG005",1,"SVC",1,1,0.6
"TAG005",1,"SVC",2,0,0
"TAG006",1,"rest",1,36,13.3
"TAG006",1,"SVC",1,59,32.8
"TAG007",1,"DSD",1,13,5.8
"TAG007",1,"DSD",2,20,8.9
"TAG007",1,"rest",1,0,0
"TAG007",1,"rest",2,0,0
"TAG007",1,"SVC",1,1,0.6
"TAG007",1,"SVC",2,5,2.8
"TAG008",1,"DSD",1,19,13.1
"TAG008",1,"DSD",2,24,10.7
"TAG008",1,"rest",1,4,1.5
"TAG008",1,"rest",2,5,1.9
"TAG008",1,"SVC",1,36,20
"TAG008",1,"SVC",2,16,8.9
"TAG009",1,"rest",1,0,0
"TAG009",1,"rest",2,0,0
"TAG010",1,"DSD",1,1,0.4
"TAG010",1,"DSD",2,0,0
"TAG010",1,"rest",1,0,0
"TAG010",1,"rest",2,0,0
"TAG010",1,"SVC",1,1,0.6
"TAG010",1,"SVC",2,3,1.7
"TAG011",1,"DSD",1,1,0.4
"TAG011",1,"DSD",2,5,2.2
"TAG011",1,"rest",1,0,0
"TAG011",1,"rest",2,0,0
"TAG011",1,"SVC",1,0,0
"TAG011",1,"SVC",2,2,1.1
"TAG012",1,"DSD",1,2,0.9
"TAG012",1,"DSD",2,7,3.1
"TAG012",1,"rest",1,0,0
"TAG012",1,"rest",2,1,0.4
"TAG012",1,"SVC",1,0,0
"TAG012",1,"SVC",2,4,2.2
"TAG013",1,"DSD",1,0,0
"TAG013",1,"DSD",2,12,5.3
"TAG013",1,"rest",1,0,0
"TAG013",1,"rest",2,0,0
"TAG013",1,"SVC",1,0,0
"TAG013",1,"SVC",2,2,1.1
"TAG014",1,"DSD",1,14,6.2
"TAG014",1,"DSD",2,64,28.4
"TAG014",1,"rest",1,3,1.1
"TAG014",1,"rest",2,23,8.5
"TAG014",1,"SVC",1,0,0
"TAG014",1,"SVC",2,5,2.8
"TAG015",1,"DSD",1,9,4
"TAG015",1,"DSD",2,3,1.3
"TAG015",1,"rest",1,0,0
"TAG015",1,"rest",2,0,0
"TAG015",1,"SVC",1,0,0
"TAG015",1,"SVC",2,0,0
"TAG016",1,"DSD",1,0,0
"TAG016",1,"DSD",2,3,1.3
"TAG016",1,"rest",1,0,0
"TAG016",1,"rest",2,0,0
"TAG016",1,"SVC",1,0,0
"TAG016",1,"SVC",2,2,1.1
"TAG018",1,"DSD",1,44,20.1
"TAG018",1,"DSD",2,39,17.3
"TAG018",1,"rest",1,4,1.5
"TAG018",1,"rest",2,0,0
"TAG018",1,"SVC",1,30,16.7
"TAG018",1,"SVC",2,49,27.2
"TAG019",1,"DSD",1,11,4.9
"TAG019",1,"DSD",2,23,10.2
"TAG019",1,"rest",1,1,0.4
"TAG019",1,"rest",2,4,1.5
"TAG019",1,"SVC",1,7,3.9
"TAG019",1,"SVC",2,11,6.1
"TAG020",1,"DSD",1,3,1.3
"TAG020",1,"DSD",2,5,2.2
"TAG020",1,"rest",1,0,0
"TAG020",1,"rest",2,0,0
"TAG020",1,"SVC",1,0,0
"TAG020",1,"SVC",2,7,3.9
