"subjectID","wave","task","nVols","percent"
"TAG001",1,"DSD",1,0.2
"TAG001",1,"rest",0,0
"TAG001",1,"SVC",0,0
"TAG002",1,"DSD",121,26.9
"TAG002",1,"rest",2,0.4
"TAG002",1,"SVC",9,2.5
"TAG004",1,"DSD",87,19.3
"TAG004",1,"rest",14,2.6
"TAG004",1,"SVC",101,28.5
"TAG005",1,"DSD",3,0.7
"TAG005",1,"rest",0,0
"TAG005",1,"SVC",1,0.3
"TAG006",1,"rest",36,13.3
"TAG006",1,"SVC",59,32.8
"TAG007",1,"DSD",33,7.3
"TAG007",1,"rest",0,0
"TAG007",1,"SVC",6,1.7
"TAG008",1,"DSD",43,11.6
"TAG008",1,"rest",9,1.7
"TAG008",1,"SVC",52,14.4
"TAG009",1,"rest",0,0
"TAG010",1,"DSD",1,0.2
"TAG010",1,"rest",0,0
"TAG010",1,"SVC",4,1.1
"TAG011",1,"DSD",6,1.3
"TAG011",1,"rest",0,0
"TAG011",1,"SVC",2,0.6
"TAG012",1,"DSD",9,2
"TAG012",1,"rest",1,0.2
"TAG012",1,"SVC",4,1.1
"TAG013",1,"DSD",12,2.7
"TAG013",1,"rest",0,0
"TAG013",1,"SVC",2,0.6
"TAG014",1,"DSD",78,17.3
"TAG014",1,"rest",26,4.8
"TAG014",1,"SVC",5,1.4
"TAG015",1,"DSD",12,2.7
"TAG015",1,"rest",0,0
"TAG015",1,"SVC",0,0
"TAG016",1,"DSD",3,0.7
"TAG016",1,"rest",0,0
"TAG016",1,"SVC",2,0.6
"TAG018",1,"DSD",83,18.7
"TAG018",1,"rest",4,0.7
"TAG018",1,"SVC",79,21.9
"TAG019",1,"DSD",34,7.6
"TAG019",1,"rest",5,0.9
"TAG019",1,"SVC",18,5
"TAG020",1,"DSD",8,1.8
"TAG020",1,"rest",0,0
"TAG020",1,"SVC",7,1.9
"TAG022",1,"DSD",23,5.1
"TAG022",1,"rest",0,0
"TAG022",1,"SVC",2,0.6
"TAG023",1,"DSD",25,5.6
"TAG023",1,"rest",2,0.4
"TAG023",1,"SVC",5,1.4
"TAG024",1,"DSD",39,17.3
"TAG024",1,"rest",5,0.9
"TAG024",1,"SVC",40,11.1
"TAG026",1,"DSD",8,1.8
"TAG026",1,"rest",0,0
"TAG026",1,"SVC",2,0.6
"TAG027",1,"DSD",38,8.4
"TAG027",1,"rest",0,0
"TAG027",1,"SVC",34,9.4
"TAG028",1,"rest",0,0
"TAG028",1,"SVC",41,22.9
"TAG030",1,"DSD",25,5.6
"TAG030",1,"rest",4,0.7
"TAG030",1,"SVC",4,1.1
"TAG032",1,"DSD",0,0
"TAG032",1,"rest",0,0
"TAG032",1,"SVC",0,0
"TAG033",1,"DSD",0,0
"TAG033",1,"rest",0,0
"TAG033",1,"SVC",1,0.3
"TAG034",1,"DSD",1,0.2
"TAG034",1,"rest",0,0
"TAG034",1,"SVC",0,0
"TAG035",1,"DSD",15,3.3
"TAG035",1,"rest",0,0
"TAG035",1,"SVC",0,0
"TAG036",1,"DSD",1,0.2
"TAG036",1,"rest",2,0.4
"TAG036",1,"SVC",6,1.7
"TAG037",1,"DSD",2,0.4
"TAG037",1,"rest",0,0
"TAG037",1,"SVC",0,0
"TAG038",1,"DSD",31,6.9
"TAG038",1,"rest",2,0.4
