"subjectID","wave","task","maxFD"
"TAG001",1,"DSD",1.353802552
"TAG001",1,"rest",0.52439
"TAG001",1,"SVC",0.65531635
"TAG002",1,"DSD",6.56585785
"TAG002",1,"rest",1.3264278
"TAG002",1,"SVC",2.10142395
"TAG004",1,"DSD",5.5754825
"TAG004",1,"rest",2.9641276
"TAG004",1,"SVC",8.510556
"TAG005",1,"DSD",1.73101555
"TAG005",1,"rest",0.57430485
"TAG005",1,"SVC",0.90748083
"TAG006",1,"rest",15.178282
"TAG006",1,"SVC",8.8797545
"TAG007",1,"DSD",5.21012598
"TAG007",1,"rest",0.80851784
"TAG007",1,"SVC",6.97567995
"TAG008",1,"DSD",17.3266012
"TAG008",1,"rest",3.31833291
"TAG008",1,"SVC",18.14727265
"TAG009",1,"rest",0.221290805
"TAG010",1,"DSD",1.1731897
"TAG010",1,"rest",1.120165931
"TAG010",1,"SVC",1.5919786
"TAG011",1,"DSD",1.3677274
"TAG011",1,"rest",0.5423602
"TAG011",1,"SVC",3.1386994
"TAG012",1,"DSD",2.0886668
"TAG012",1,"rest",1.03695855
"TAG012",1,"SVC",1.67083248
"TAG013",1,"DSD",2.3382041
"TAG013",1,"rest",0.6799404394
"TAG013",1,"SVC",0.78187865
"TAG014",1,"DSD",8.066051
"TAG014",1,"rest",3.205166
"TAG014",1,"SVC",1.94042
"TAG015",1,"DSD",2.113620285
"TAG015",1,"rest",0.33732745
"TAG015",1,"SVC",0.54979235
"TAG016",1,"DSD",1.8953805
"TAG016",1,"rest",0.3599491
"TAG016",1,"SVC",1.1758853
"TAG018",1,"DSD",9.812091
"TAG018",1,"rest",1.22156807
"TAG018",1,"SVC",25.8966974
"TAG019",1,"DSD",3.1141203
"TAG019",1,"rest",1.76196495
"TAG019",1,"SVC",5.9775099
"TAG020",1,"DSD",1.71895915
"TAG020",1,"rest",0.33297705
"TAG020",1,"SVC",1.438176875
"TAG022",1,"DSD",2.88864818
"TAG022",1,"rest",0.8131386
"TAG022",1,"SVC",1.111666965
"TAG023",1,"DSD",5.8650326
"TAG023",1,"rest",2.2347813
"TAG023",1,"SVC",1.4434014
"TAG024",1,"DSD",6.444768021
"TAG024",1,"rest",0.8826371
"TAG024",1,"SVC",7.5217965
"TAG026",1,"DSD",1.38755165
"TAG026",1,"rest",0.230005
"TAG026",1,"SVC",1.7028251
"TAG027",1,"DSD",5.480804
"TAG027",1,"rest",0.9268998
"TAG027",1,"SVC",2.4264356
"TAG028",1,"rest",0.5292909
"TAG028",1,"SVC",9.5519572
"TAG030",1,"DSD",3.47741935
"TAG030",1,"rest",3.2577141
"TAG030",1,"SVC",1.48831675
"TAG032",1,"DSD",0.8063755
"TAG032",1,"rest",0.5092205
"TAG032",1,"SVC",0.5705497
"TAG033",1,"DSD",0.75177682
"TAG033",1,"rest",0.2925601445
"TAG033",1,"SVC",1.0783818
"TAG034",1,"DSD",1.3086318
"TAG034",1,"rest",0.319958125
"TAG034",1,"SVC",0.3808288
"TAG035",1,"DSD",4.9005581
"TAG035",1,"rest",0.40239645
"TAG035",1,"SVC",0.906123133
"TAG036",1,"DSD",1.00714317
"TAG036",1,"rest",1.3508574
"TAG036",1,"SVC",1.1827123
"TAG037",1,"DSD",1.8532367
"TAG037",1,"rest",0.44261084
"TAG037",1,"SVC",0.53824872
"TAG038",1,"DSD",6.652524
"TAG038",1,"rest",1.15916856
"TAG038",1,"SVC",6.7154364
"TAG040",1,"DSD",7.3121058
"TAG040",1,"rest",1.17260445
"TAG040",1,"SVC",4.5077049
"TAG041",1,"DSD",0.855194585
"TAG041",1,"rest",0.38056287
"TAG041",1,"SVC",1.45778795
"TAG042",1,"DSD",1.27201133
"TAG042",1,"rest",0.6895138
"TAG042",1,"SVC",0.70232125
"TAG044",1,"DSD",5.3304226
"TAG044",1,"rest",1.155404
"TAG044",1,"SVC",1.27529785
"TAG045",1,"DSD",5.6300725
"TAG045",1,"rest",0.84729614
"TAG045",1,"SVC",3.65073
"TAG046",1,"DSD",3.8424301
"TAG046",1,"rest",1.227231
"TAG046",1,"SVC",2.49362475
"TAG047",1,"DSD",12.0250357
"TAG047",1,"rest",6.474374
"TAG047",1,"SVC",6.2418979
"TAG048",1,"DSD",2.8114882
"TAG048",1,"rest",0.5709056339
"TAG048",1,"SVC",1.6818482
"TAG049",1,"DSD",9.43932465
"TAG049",1,"rest",2.36234465
"TAG049",1,"SVC",9.024331
"TAG050",1,"DSD",0.5775617
"TAG050",1,"rest",0.2847723
"TAG050",1,"SVC",0.41099571
"TAG051",1,"DSD",2.4024705
"TAG051",1,"rest",0.32150525
"TAG051",1,"SVC",1.00438475
"TAG052",1,"DSD",5.6019116
"TAG052",1,"rest",0.399910167
"TAG052",1,"SVC",4.424693695
"TAG053",1,"DSD",2.3113663
"TAG053",1,"rest",3.0110927
"TAG053",1,"SVC",3.58300465
"TAG054",1,"DSD",1.86039965
"TAG054",1,"rest",0.574906
"TAG054",1,"SVC",1.42860154
"TAG055",1,"DSD",1.40712118
"TAG055",1,"rest",0.2337562
"TAG055",1,"SVC",1.30749626
"TAG056",1,"DSD",2.48151885
"TAG056",1,"rest",1.1794131
"TAG056",1,"SVC",1.549676615
"TAG057",1,"DSD",11.9577712
"TAG057",1,"rest",4.05948314
"TAG057",1,"SVC",11.17244135
"TAG058",1,"DSD",189.0013592
"TAG058",1,"rest",1.1794131
"TAG058",1,"SVC",296.2830685
"TAG059",1,"DSD",1.41298235
"TAG059",1,"rest",5.7695522
"TAG059",1,"SVC",0.88085675
"TAG060",1,"DSD",0.817410375
"TAG060",1,"rest",0.344089803
"TAG060",1,"SVC",1.09227405
"TAG062",1,"DSD",7.4123167
"TAG062",1,"rest",0.925745
"TAG062",1,"SVC",5.86883185
"TAG064",1,"DSD",6.4183746
"TAG064",1,"rest",0.5019954
"TAG064",1,"SVC",1.745639408
"TAG065",1,"DSD",4.74246
"TAG065",1,"rest",0.3741558
"TAG065",1,"SVC",1.5435977
"TAG066",1,"DSD",1.6765115
"TAG066",1,"rest",0.345132452
"TAG066",1,"SVC",2.46541505
"TAG067",1,"DSD",1.175496318
"TAG067",1,"rest",0.90000945
"TAG067",1,"SVC",1.6129612
"TAG068",1,"DSD",0.63183456
"TAG068",1,"rest",0.75049875
"TAG068",1,"SVC",0.82034104
"TAG069",1,"DSD",0.95280695
"TAG069",1,"rest",0.34052346
"TAG069",1,"SVC",1.067450625
"TAG070",1,"DSD",4.6034438
"TAG070",1,"rest",0.73798595
"TAG070",1,"SVC",0.50824484
"TAG071",1,"DSD",5.2011406
"TAG071",1,"rest",1.58341805
"TAG071",1,"SVC",8.2355245
"TAG072",1,"DSD",2.81218671
"TAG072",1,"rest",0.3660814
"TAG072",1,"SVC",0.91998132
"TAG074",1,"DSD",1.888046
"TAG074",1,"rest",0.42562555
"TAG074",1,"SVC",0.64577995
"TAG075",1,"DSD",2.75007925
"TAG075",1,"rest",0.7400305
"TAG075",1,"SVC",1.46588475
"TAG076",1,"DSD",4.2577262
"TAG076",1,"rest",2.96781972
"TAG076",1,"SVC",3.72301165
"TAG077",1,"DSD",4.79927925
"TAG077",1,"rest",0.9013913
"TAG077",1,"SVC",6.374769
"TAG078",1,"DSD",2.6990843
"TAG078",1,"rest",2.424379835
"TAG078",1,"SVC",3.05333755
"TAG080",1,"DSD",0.59088061
"TAG080",1,"rest",0.84305654
"TAG080",1,"SVC",1.9174402
"TAG081",1,"DSD",0.85195694
"TAG081",1,"rest",2.3234463
"TAG081",1,"SVC",1.254091085
"TAG083",1,"rest",10.5356558
"TAG083",1,"SVC",25.8818286
"TAG084",1,"DSD",7.1701915
"TAG084",1,"rest",4.95692137
"TAG084",1,"SVC",8.4466171
"TAG085",1,"DSD",0.5709031
"TAG085",1,"rest",0.3081896
"TAG085",1,"SVC",0.51705405
"TAG086",1,"DSD",4.98198541
"TAG086",1,"rest",3.3358547
"TAG086",1,"SVC",5.9252094
"TAG087",1,"DSD",0.49832159
"TAG087",1,"rest",0.7115878
"TAG087",1,"SVC",0.46647124
"TAG088",1,"DSD",2.4509241
"TAG088",1,"rest",2.36720045
"TAG088",1,"SVC",1.6448664
"TAG089",1,"DSD",4.4402465
"TAG089",1,"rest",2.62497445
"TAG089",1,"SVC",3.5988085
"TAG090",1,"DSD",1.51473938
"TAG090",1,"rest",0.4160062
"TAG090",1,"SVC",2.5137925
"TAG091",1,"DSD",0.928563465
"TAG091",1,"rest",0.40480704
"TAG091",1,"SVC",1.10876018
"TAG094",1,"DSD",5.1404861
"TAG094",1,"rest",0.43147245
"TAG094",1,"SVC",6.14660035
"TAG095",1,"DSD",2.411113395
"TAG095",1,"rest",0.86230515
"TAG095",1,"SVC",2.8230326
"TAG099",1,"DSD",6.9934133
"TAG099",1,"rest",5.00088921
"TAG099",1,"SVC",7.18199555
"TAG100",1,"DSD",6.8130555
"TAG100",1,"rest",0.34173752
"TAG100",1,"SVC",1.36464845
"TAG101",1,"DSD",1.284229705
"TAG101",1,"rest",0.415062055
"TAG101",1,"SVC",0.44138714
"TAG102",1,"DSD",1.8044529
"TAG102",1,"rest",0.48811295
"TAG102",1,"SVC",0.5674356
"TAG103",1,"DSD",4.74704252
"TAG103",1,"rest",0.67785355
"TAG103",1,"SVC",0.70277594
"TAG104",1,"DSD",1.7486004
"TAG104",1,"rest",1.0151825
"TAG104",1,"SVC",2.7392545
"TAG105",1,"DSD",6.9353153
"TAG105",1,"rest",0.94043397
"TAG105",1,"SVC",4.6285826
"TAG106",1,"DSD",5.1411389
"TAG106",1,"rest",1.34779056
"TAG106",1,"SVC",2.2819066
"TAG107",1,"DSD",6.419343
"TAG107",1,"rest",0.45805846
"TAG107",1,"SVC",1.2218801
"TAG109",1,"DSD",4.4689378
"TAG109",1,"rest",0.8054134
"TAG109",1,"SVC",1.95792055
"TAG110",1,"DSD",1.00255024
"TAG110",1,"rest",0.9237744
"TAG110",1,"SVC",0.57285276
"TAG111",1,"DSD",5.2420944
"TAG111",1,"rest",1.535477
"TAG111",1,"SVC",0.79821555
"TAG112",1,"DSD",7.7423885
"TAG112",1,"rest",0.80773198
"TAG112",1,"SVC",6.815005645
"TAG113",1,"DSD",18.3647349
"TAG113",1,"rest",5.12465615
"TAG113",1,"SVC",7.3893515
"TAG114",1,"DSD",4.94230205
"TAG114",1,"rest",0.97850564
"TAG114",1,"SVC",4.1421165
"TAG116",1,"DSD",6.3481333
"TAG116",1,"rest",1.72896505
"TAG116",1,"SVC",1.4059734
"TAG119",1,"DSD",3.5812763
"TAG119",1,"rest",2.75588265
"TAG119",1,"SVC",3.9347418
"TAG120",1,"DSD",2.4255274
"TAG120",1,"rest",0.77074538
"TAG120",1,"SVC",1.53060435
"TAG122",1,"DSD",11.962585
"TAG122",1,"rest",14.535767
"TAG122",1,"SVC",12.7786886
"TAG124",1,"DSD",2.90652705
"TAG124",1,"rest",0.65603684
"TAG124",1,"SVC",3.7305386
"TAG125",1,"DSD",4.36042925
"TAG125",1,"rest",2.06627663
"TAG125",1,"SVC",3.0967321
"TAG127",1,"DSD",1.80193045
"TAG127",1,"rest",0.42396565
"TAG127",1,"SVC",2.6886507
"TAG130",1,"DSD",4.912454
"TAG130",1,"rest",2.28155621
"TAG130",1,"SVC",2.52789325
"TAG131",1,"DSD",9.8297355
"TAG131",1,"rest",1.1588149
"TAG131",1,"SVC",4.23008305
"TAG132",1,"DSD",0.5896598
"TAG132",1,"rest",0.31928406
"TAG132",1,"SVC",1.134544975
"TAG137",1,"DSD",7.977675
"TAG137",1,"rest",6.4933624
"TAG137",1,"SVC",3.5179331
"TAG138",1,"DSD",10.711853
"TAG138",1,"rest",6.8056551
"TAG138",1,"SVC",2.58302845
"TAG140",1,"DSD",6.4382565
"TAG140",1,"rest",0.83413229
"TAG140",1,"SVC",0.86730477
"TAG141",1,"DSD",9.0527739
"TAG141",1,"rest",0.722744447
"TAG141",1,"SVC",0.947053
"TAG143",1,"DSD",7.7713843
"TAG143",1,"rest",1.06322532
"TAG143",1,"SVC",3.7231312
"TAG144",1,"DSD",5.0536099
"TAG144",1,"rest",0.56059767
"TAG144",1,"SVC",1.60953415
"TAG145",1,"DSD",1.95365622
"TAG145",1,"rest",5.2234335
"TAG145",1,"SVC",1.85785885
"TAG147",1,"DSD",1.2231617
"TAG147",1,"rest",1.4773791
"TAG147",1,"SVC",0.787537275
"TAG149",1,"DSD",1.6472812
"TAG149",1,"rest",0.92901445
"TAG149",1,"SVC",1.747005
"TAG152",1,"DSD",3.74658095
"TAG152",1,"rest",2.39617975
"TAG152",1,"SVC",1.36802007
"TAG155",1,"DSD",1.74089129
"TAG155",1,"rest",0.67999895
"TAG155",1,"SVC",2.199762985
"TAG159",1,"DSD",1.081266135
"TAG159",1,"rest",0.42950375
"TAG159",1,"SVC",0.86487509
"TAG160",1,"DSD",3.19671465
"TAG160",1,"rest",2.57434904
"TAG160",1,"SVC",2.824053938
"TAG164",1,"DSD",1.92087566
"TAG164",1,"rest",0.59610283
"TAG164",1,"SVC",1.6863661
"TAG165",1,"DSD",9.5735675
"TAG165",1,"rest",3.6317567
"TAG165",1,"SVC",5.2187584
"TAG166",1,"DSD",0.95937325
"TAG166",1,"rest",1.217665795
"TAG166",1,"SVC",0.9691313
"TAG167",1,"DSD",2.779908
"TAG167",1,"rest",1.7590398
"TAG167",1,"SVC",1.133814895
"TAG169",1,"DSD",1.3769622
"TAG169",1,"rest",0.26630349
"TAG169",1,"SVC",1.57840996
"TAG173",1,"DSD",0.51295855
"TAG173",1,"rest",0.9740107
"TAG173",1,"SVC",1.27557345
"TAG174",1,"SVC",1.46905878
"TAG175",1,"DSD",4.3571472
"TAG175",1,"SVC",1.1614137
"TAG176",1,"DSD",7.946013
"TAG176",1,"rest",1.6687595
"TAG176",1,"SVC",0.83772759
"TAG177",1,"rest",5.446396
"TAG177",1,"SVC",1.767547226
"TAG179",1,"DSD",1.2036388
"TAG179",1,"rest",0.704717665
"TAG179",1,"SVC",0.82873235
"TAG180",1,"DSD",1.10682195
"TAG180",1,"rest",0.19217275
"TAG180",1,"SVC",0.47451329
"TAG181",1,"DSD",1.48589495
"TAG181",1,"rest",1.214368696
"TAG181",1,"SVC",1.6789171
"TAG186",1,"DSD",5.732159
"TAG186",1,"rest",2.5785035
"TAG186",1,"SVC",5.78311955
"TAG188",1,"DSD",1.651254595
"TAG188",1,"rest",1.20680935
"TAG188",1,"SVC",16.7384605
"TAG190",1,"DSD",7.7321801
"TAG190",1,"rest",3.9750904
"TAG190",1,"SVC",3.67682993
"TAG192",1,"DSD",8.971518
"TAG192",1,"rest",4.7335685
"TAG192",1,"SVC",6.2749706
"TAG194",1,"DSD",1.2678466
"TAG194",1,"rest",3.4721385
"TAG194",1,"SVC",1.4942917
"TAG200",1,"DSD",4.70032535
"TAG200",1,"rest",3.3105236
"TAG200",1,"SVC",1.27580795
"TAG202",1,"DSD",8.651453
"TAG202",1,"rest",0.43909315
"TAG202",1,"SVC",2.73529475
"TAG203",1,"DSD",2.06701544
"TAG203",1,"rest",2.3626125
"TAG203",1,"SVC",3.41819554
"TAG206",1,"DSD",2.3901435
"TAG206",1,"rest",0.36000588
"TAG206",1,"SVC",1.09340355
"TAG207",1,"DSD",1.50644399
"TAG207",1,"rest",1.5418166
"TAG207",1,"SVC",1.38474355
"TAG208",1,"DSD",1.6548529
"TAG208",1,"rest",0.2970846
"TAG208",1,"SVC",0.65495715
"TAG209",1,"DSD",0.681883385
"TAG209",1,"rest",0.34380553
"TAG209",1,"SVC",0.47184795
"TAG210",1,"DSD",1.98872006
"TAG210",1,"rest",0.3234906
"TAG210",1,"SVC",0.5986353
"TAG211",1,"DSD",6.4306176
"TAG211",1,"rest",0.77089979
"TAG211",1,"SVC",2.08448385
"TAG215",1,"DSD",2.0209256
"TAG215",1,"rest",0.549255975
"TAG215",1,"SVC",0.66971335
"TAG218",1,"DSD",0.4121769
"TAG218",1,"rest",0.3262198
"TAG218",1,"SVC",0.35560785
"TAG220",1,"DSD",1.074119
"TAG220",1,"rest",0.62877751
"TAG220",1,"SVC",0.697125773
"TAG221",1,"DSD",3.4492069
"TAG221",1,"rest",0.9500323
"TAG221",1,"SVC",1.632478505
"TAG223",1,"DSD",0.7302798
"TAG223",1,"rest",0.4048095
"TAG223",1,"SVC",0.52109275
"TAG224",1,"DSD",1.59213788
"TAG224",1,"rest",0.4861675
"TAG224",1,"SVC",2.72865
"TAG225",1,"DSD",5.2633265
"TAG225",1,"rest",2.744509505
"TAG225",1,"SVC",1.85214865
"TAG232",1,"DSD",7.72756555
"TAG232",1,"rest",1.297254345
"TAG232",1,"SVC",2.5397792
"TAG233",1,"rest",19.9970849
"TAG233",1,"SVC",28.24592828
"TAG238",1,"DSD",0.8494978
"TAG238",1,"rest",0.60021948
"TAG238",1,"SVC",0.5538902
"TAG240",1,"DSD",3.22847
"TAG240",1,"rest",1.8306837
"TAG240",1,"SVC",0.52892825
"TAG243",1,"DSD",0.65810726
"TAG243",1,"rest",0.30793175
"TAG243",1,"SVC",0.4913264
"TAG244",1,"DSD",4.97934025
"TAG244",1,"rest",1.3558736
"TAG244",1,"SVC",5.41033944
"TAG247",1,"SVC",14.041497
"TAG250",1,"DSD",5.44825261
"TAG250",1,"rest",1.00122799
"TAG250",1,"SVC",0.89878005
"TAG252",1,"rest",1.75164702
"TAG253",1,"DSD",4.7424445
"TAG253",1,"rest",8.701644
"TAG253",1,"SVC",6.27184005
"TAG261",1,"rest",12.9770983
"TAG261",1,"SVC",8.8940064
"TAG266",1,"DSD",0.7691556
"TAG266",1,"rest",0.3784708
"TAG266",1,"SVC",0.5072643
