"subjectID","wave","task","run","nVols","percent"
"TAG001",2,"DSD",1,0,0
"TAG001",2,"DSD",2,0,0
"TAG001",2,"rest",1,0,0
"TAG001",2,"rest",2,0,0
"TAG001",2,"SVC",1,0,0
"TAG001",2,"SVC",2,0,0
"TAG002",2,"rest",1,0,0
"TAG002",2,"rest",2,0,0
"TAG002",2,"rest",3,0,0
"TAG002",2,"SVC",1,0,0
"TAG002",2,"SVC",2,14,7.8
"TAG004",2,"DSD",1,8,3.6
"TAG004",2,"DSD",2,49,21.8
"TAG004",2,"rest",1,0,0
"TAG004",2,"rest",2,0,0
"TAG004",2,"SVC",1,2,1.1
"TAG004",2,"SVC",2,2,1.1
"TAG005",2,"DSD",1,0,0
"TAG005",2,"DSD",2,2,0.9
"TAG005",2,"rest",1,0,0
"TAG005",2,"rest",2,1,0.3
"TAG005",2,"SVC",1,0,0
"TAG005",2,"SVC",2,0,0
"TAG007",2,"DSD",1,0,0
"TAG007",2,"DSD",2,0,0
"TAG007",2,"rest",1,0,0
"TAG007",2,"rest",2,0,0
"TAG007",2,"SVC",1,0,0
"TAG007",2,"SVC",2,1,0.6
"TAG008",2,"DSD",1,21,9.3
"TAG008",2,"DSD",2,11,4.9
"TAG008",2,"rest",1,3,0.8
"TAG008",2,"rest",2,5,1.3
"TAG008",2,"SVC",1,2,1.1
"TAG008",2,"SVC",2,5,2.8
"TAG009",2,"rest",1,0,0
"TAG009",2,"rest",2,0,0
"TAG010",2,"DSD",1,0,0
"TAG010",2,"DSD",2,0,0
"TAG010",2,"rest",1,0,0
"TAG010",2,"rest",2,0,0
"TAG010",2,"SVC",1,0,0
"TAG010",2,"SVC",2,0,0
"TAG014",2,"DSD",1,0,0
"TAG014",2,"DSD",2,0,0
"TAG014",2,"rest",1,3,0.8
"TAG014",2,"rest",2,0,0
"TAG014",2,"SVC",1,15,8.3
"TAG014",2,"SVC",2,2,1.1
"TAG015",2,"DSD",1,2,0.9
"TAG015",2,"DSD",2,0,0
"TAG015",2,"rest",1,0,0
"TAG015",2,"rest",2,0,0
"TAG015",2,"SVC",1,1,0.6
"TAG015",2,"SVC",2,0,0
"TAG016",2,"DSD",1,0,0
"TAG016",2,"DSD",2,0,0
"TAG016",2,"rest",1,0,0
"TAG016",2,"rest",2,0,0
"TAG016",2,"SVC",1,0,0
"TAG016",2,"SVC",2,0,0
"TAG017",2,"DSD",1,1,0.4
"TAG017",2,"DSD",2,4,1.8
"TAG017",2,"rest",1,0,0
"TAG017",2,"rest",2,0,0
"TAG017",2,"SVC",1,0,0
"TAG017",2,"SVC",2,4,2.2
"TAG018",2,"DSD",1,0,0
"TAG018",2,"DSD",2,5,2.2
"TAG018",2,"rest",1,0,0
"TAG018",2,"rest",2,0,0
"TAG018",2,"SVC",1,0,0
"TAG018",2,"SVC",2,8,4.4
"TAG019",2,"DSD",1,3,1.3
"TAG019",2,"DSD",2,6,2.7
"TAG019",2,"rest",1,0,0
"TAG019",2,"rest",2,0,0
"TAG019",2,"SVC",1,2,1.1
"TAG019",2,"SVC",2,5,2.8
"TAG020",2,"DSD",1,1,0.4
"TAG020",2,"DSD",2,3,1.3
"TAG020",2,"rest",1,0,0
"TAG020",2,"rest",2,4,1
"TAG020",2,"SVC",1,7,3.9
"TAG020",2,"SVC",2,31,17.2
"TAG022",2,"DSD",1,0,0
"TAG022",2,"DSD",2,0,0
"TAG022",2,"rest",1,0,0
"TAG022",2,"rest",2,3,0.8
"TAG022",2,"SVC",1,0,0
"TAG022",2,"SVC",2,0,0
"TAG024",2,"DSD",1,0,0
"TAG024",2,"rest",1,0,0
"TAG024",2,"rest",2,0,0
"TAG024",2,"SVC",1,5,2.8
