"subjectID","wave","task","nVols","percent"
"TAG001",2,"DSD",0,0
"TAG001",2,"rest",0,0
"TAG001",2,"SVC",0,0
"TAG002",2,"rest",0,0
"TAG002",2,"SVC",14,3.9
"TAG004",2,"DSD",57,12.7
"TAG004",2,"rest",0,0
"TAG004",2,"SVC",4,1.1
"TAG005",2,"DSD",2,0.4
"TAG005",2,"rest",1,0.1
"TAG005",2,"SVC",0,0
"TAG007",2,"DSD",0,0
"TAG007",2,"rest",0,0
"TAG007",2,"SVC",1,0.3
"TAG008",2,"DSD",32,7.1
"TAG008",2,"rest",8,1
"TAG008",2,"SVC",7,1.9
"TAG009",2,"rest",0,0
"TAG010",2,"DSD",0,0
"TAG010",2,"rest",0,0
"TAG010",2,"SVC",0,0
"TAG014",2,"DSD",0,0
"TAG014",2,"rest",3,0.4
"TAG014",2,"SVC",17,4.7
"TAG015",2,"DSD",2,0.4
"TAG015",2,"rest",0,0
"TAG015",2,"SVC",1,0.3
"TAG016",2,"DSD",0,0
"TAG016",2,"rest",0,0
"TAG016",2,"SVC",0,0
"TAG017",2,"DSD",5,1.1
"TAG017",2,"rest",0,0
"TAG017",2,"SVC",4,1.1
"TAG018",2,"DSD",5,1.1
"TAG018",2,"rest",0,0
"TAG018",2,"SVC",8,2.2
"TAG019",2,"DSD",9,2
"TAG019",2,"rest",0,0
"TAG019",2,"SVC",7,1.9
"TAG020",2,"DSD",4,0.9
"TAG020",2,"rest",4,0.5
"TAG020",2,"SVC",38,10.6
"TAG022",2,"DSD",0,0
"TAG022",2,"rest",3,0.4
"TAG022",2,"SVC",0,0
"TAG024",2,"DSD",0,0
"TAG024",2,"rest",0,0
"TAG024",2,"SVC",21,5.8
"TAG026",2,"DSD",6,1.3
"TAG026",2,"rest",0,0
"TAG026",2,"SVC",0,0
"TAG027",2,"DSD",5,1.1
"TAG027",2,"rest",0,0
"TAG027",2,"SVC",0,0
"TAG028",2,"DSD",2,1.2
"TAG028",2,"rest",1,0.1
"TAG028",2,"SVC",11,3.1
"TAG030",2,"DSD",1,0.4
"TAG030",2,"rest",3,0.6
"TAG030",2,"SVC",69,19.2
"TAG033",2,"DSD",0,0
"TAG033",2,"rest",0,0
"TAG033",2,"SVC",0,0
"TAG034",2,"DSD",0,0
"TAG034",2,"rest",0,0
"TAG034",2,"SVC",0,0
"TAG035",2,"DSD",8,1.8
"TAG035",2,"rest",0,0
"TAG035",2,"SVC",4,1.1
"TAG036",2,"DSD",0,0
"TAG036",2,"rest",0,0
"TAG036",2,"SVC",0,0
"TAG037",2,"DSD",0,0
"TAG037",2,"rest",3,0.4
"TAG037",2,"SVC",0,0
"TAG038",2,"DSD",14,3.1
