"subjectID","wave","task","nVols","percent"
"TAG001",1,"DSD",2,0.4
"TAG001",1,"SVC",1,0.3
"TAG002",1,"DSD",123,27.3
"TAG002",1,"SVC",12,3.3
"TAG004",1,"DSD",92,20.4
"TAG004",1,"SVC",106,29.9
"TAG005",1,"DSD",5,1.2
"TAG005",1,"SVC",1,0.3
"TAG006",1,"SVC",65,36.1
"TAG007",1,"DSD",35,7.8
"TAG007",1,"SVC",11,3.1
"TAG008",1,"DSD",48,13
"TAG008",1,"SVC",51,14.2
"TAG010",1,"DSD",3,0.7
"TAG010",1,"SVC",9,2.5
"TAG011",1,"DSD",6,1.3
"TAG011",1,"SVC",3,0.8
"TAG012",1,"DSD",15,3.3
"TAG012",1,"SVC",5,1.4
"TAG013",1,"DSD",19,4.2
"TAG013",1,"SVC",4,1.1
"TAG014",1,"DSD",79,17.6
"TAG014",1,"SVC",6,1.7
"TAG015",1,"DSD",16,3.6
"TAG015",1,"SVC",0,0
"TAG016",1,"DSD",7,1.6
"TAG016",1,"SVC",2,0.6
"TAG018",1,"DSD",85,19.1
"TAG018",1,"SVC",80,22.2
"TAG019",1,"DSD",33,7.3
"TAG019",1,"SVC",26,7.2
"TAG020",1,"DSD",10,2.2
"TAG020",1,"SVC",8,2.2
"TAG022",1,"DSD",27,6
"TAG022",1,"SVC",3,0.8
"TAG023",1,"DSD",30,6.7
"TAG023",1,"SVC",8,2.2
"TAG024",1,"DSD",38,16.9
"TAG024",1,"SVC",40,11.1
"TAG026",1,"DSD",10,2.2
"TAG026",1,"SVC",6,1.7
"TAG027",1,"DSD",41,9.1
"TAG027",1,"SVC",40,11.1
"TAG028",1,"SVC",42,23.5
"TAG029",1,"DSD",3,0.7
"TAG029",1,"SVC",1,0.3
"TAG030",1,"DSD",24,5.3
"TAG030",1,"SVC",4,1.1
"TAG032",1,"DSD",0,0
"TAG032",1,"SVC",0,0
"TAG033",1,"DSD",0,0
"TAG033",1,"SVC",1,0.3
"TAG034",1,"DSD",2,0.4
"TAG034",1,"SVC",0,0
"TAG035",1,"DSD",16,3.6
"TAG035",1,"SVC",0,0
"TAG036",1,"DSD",2,0.4
"TAG036",1,"SVC",11,3.1
"TAG037",1,"DSD",2,0.4
"TAG037",1,"SVC",0,0
"TAG038",1,"DSD",33,7.3
"TAG038",1,"SVC",33,9.2
"TAG040",1,"DSD",70,15.6
"TAG040",1,"SVC",14,3.9
"TAG041",1,"DSD",1,0.2
"TAG041",1,"SVC",5,1.4
"TAG042",1,"DSD",4,0.9
"TAG042",1,"SVC",0,0
"TAG044",1,"DSD",87,22
"TAG044",1,"SVC",28,7.9
"TAG045",1,"DSD",27,8.6
"TAG045",1,"SVC",28,7.8
"TAG046",1,"DSD",71,15.8
"TAG046",1,"SVC",25,6.9
"TAG047",1,"DSD",97,29.8
"TAG047",1,"SVC",50,13.9
"TAG048",1,"DSD",34,7.6
"TAG048",1,"SVC",6,1.7
"TAG049",1,"DSD",44,9.8
"TAG049",1,"SVC",46,18.2
"TAG050",1,"DSD",0,0
"TAG050",1,"SVC",0,0
"TAG051",1,"DSD",11,2.4
"TAG051",1,"SVC",5,1.4
"TAG052",1,"DSD",54,12
"TAG052",1,"SVC",28,7.8
"TAG053",1,"DSD",7,1.6
"TAG053",1,"SVC",13,3.6
"TAG054",1,"DSD",16,3.6
"TAG054",1,"SVC",6,1.7
"TAG055",1,"DSD",2,0.4
"TAG055",1,"SVC",3,0.8
"TAG056",1,"DSD",13,2.9
"TAG056",1,"SVC",4,1.1
"TAG057",1,"DSD",199,44.2
"TAG057",1,"SVC",44,12.2
"TAG058",1,"DSD",448,99.6
"TAG058",1,"SVC",359,99.7
"TAG059",1,"DSD",18,4
"TAG059",1,"SVC",30,8.3
"TAG060",1,"DSD",3,0.7
"TAG060",1,"SVC",3,0.8
"TAG062",1,"DSD",71,15.8
"TAG062",1,"SVC",39,10.8
"TAG064",1,"DSD",116,25.8
"TAG064",1,"SVC",18,5
"TAG065",1,"DSD",13,2.9
"TAG065",1,"SVC",2,0.6
"TAG066",1,"DSD",19,4.2
"TAG066",1,"SVC",12,3.3
"TAG067",1,"DSD",10,2.2
"TAG067",1,"SVC",5,1.4
"TAG068",1,"DSD",1,0.2
"TAG068",1,"SVC",1,0.3
"TAG069",1,"DSD",1,0.2
"TAG069",1,"SVC",1,0.3
"TAG070",1,"DSD",16,3.6
"TAG070",1,"SVC",0,0
"TAG071",1,"DSD",48,10.7
"TAG071",1,"SVC",27,7.5
"TAG072",1,"DSD",16,3.6
"TAG072",1,"SVC",1,0.3
"TAG074",1,"DSD",12,2.7
"TAG074",1,"SVC",0,0
"TAG075",1,"DSD",6,1.3
"TAG075",1,"SVC",3,0.8
"TAG076",1,"DSD",47,10.4
"TAG076",1,"SVC",17,4.7
"TAG077",1,"DSD",72,16
"TAG077",1,"SVC",42,11.7
"TAG078",1,"DSD",37,8.2
"TAG078",1,"SVC",49,13.6
"TAG080",1,"DSD",1,0.2
"TAG080",1,"SVC",4,1.1
"TAG081",1,"DSD",7,1.6
"TAG081",1,"SVC",6,1.7
"TAG083",1,"SVC",77,21.4
"TAG084",1,"DSD",66,14.7
"TAG084",1,"SVC",36,10
"TAG085",1,"DSD",0,0
"TAG085",1,"SVC",0,0
"TAG086",1,"DSD",26,5.8
"TAG086",1,"SVC",10,2.8
"TAG087",1,"DSD",2,0.4
