"","coi"
"1","aseg_11_aseg_17"
"2","aseg_11_aseg_18"
"3","aseg_11_aseg_26"
"4","aseg_11_aseg_50"
"5","aseg_11_aseg_53"
"6","aseg_11_aseg_54"
"7","aseg_11_aseg_58"
"8","aseg_11_lh.L_a24_ROI"
"9","aseg_11_lh.Parcel_108"
"10","aseg_11_lh.Parcel_109"
"11","aseg_11_lh.Parcel_148"
"12","aseg_11_lh.Parcel_149"
"13","aseg_11_lh.Parcel_24"
"14","aseg_11_lh.Parcel_7"
"15","aseg_11_lh.Parcel_78"
"16","aseg_11_lh.Parcel_9"
"17","aseg_11_lh.Parcel_96"
"18","aseg_11_rh.Parcel_167"
"19","aseg_11_rh.Parcel_168"
"20","aseg_11_rh.Parcel_170"
"21","aseg_11_rh.Parcel_182"
"22","aseg_11_rh.Parcel_240"
"23","aseg_11_rh.Parcel_260"
"24","aseg_11_rh.Parcel_261"
"25","aseg_11_rh.Parcel_272"
"26","aseg_11_rh.Parcel_273"
"27","aseg_11_rh.Parcel_276"
"28","aseg_11_rh.Parcel_277"
"29","aseg_11_rh.Parcel_319"
"30","aseg_11_rh.Parcel_320"
"31","aseg_11_rh.Parcel_327"
"32","aseg_11_rh.Parcel_328"
"33","aseg_11_rh.R_a24_ROI"
"34","aseg_17_aseg_18"
"35","aseg_17_aseg_26"
"36","aseg_17_aseg_50"
"37","aseg_17_aseg_53"
"38","aseg_17_aseg_54"
"39","aseg_17_aseg_58"
"40","aseg_17_lh.L_a24_ROI"
"41","aseg_17_lh.Parcel_108"
"42","aseg_17_lh.Parcel_109"
"43","aseg_17_lh.Parcel_148"
"44","aseg_17_lh.Parcel_149"
"45","aseg_17_lh.Parcel_24"
"46","aseg_17_lh.Parcel_7"
"47","aseg_17_lh.Parcel_78"
"48","aseg_17_lh.Parcel_9"
"49","aseg_17_lh.Parcel_96"
"50","aseg_17_rh.Parcel_167"
"51","aseg_17_rh.Parcel_168"
"52","aseg_17_rh.Parcel_170"
"53","aseg_17_rh.Parcel_182"
"54","aseg_17_rh.Parcel_240"
"55","aseg_17_rh.Parcel_260"
"56","aseg_17_rh.Parcel_261"
"57","aseg_17_rh.Parcel_272"
"58","aseg_17_rh.Parcel_273"
"59","aseg_17_rh.Parcel_276"
"60","aseg_17_rh.Parcel_277"
"61","aseg_17_rh.Parcel_319"
"62","aseg_17_rh.Parcel_320"
"63","aseg_17_rh.Parcel_327"
"64","aseg_17_rh.Parcel_328"
"65","aseg_17_rh.R_a24_ROI"
"66","aseg_18_aseg_26"
"67","aseg_18_aseg_50"
"68","aseg_18_aseg_53"
"69","aseg_18_aseg_54"
"70","aseg_18_aseg_58"
"71","aseg_18_lh.L_a24_ROI"
"72","aseg_18_lh.Parcel_108"
"73","aseg_18_lh.Parcel_109"
"74","aseg_18_lh.Parcel_148"
"75","aseg_18_lh.Parcel_149"
"76","aseg_18_lh.Parcel_24"
"77","aseg_18_lh.Parcel_7"
"78","aseg_18_lh.Parcel_78"
"79","aseg_18_lh.Parcel_9"
"80","aseg_18_lh.Parcel_96"
"81","aseg_18_rh.Parcel_167"
"82","aseg_18_rh.Parcel_168"
"83","aseg_18_rh.Parcel_170"
"84","aseg_18_rh.Parcel_182"
"85","aseg_18_rh.Parcel_240"
"86","aseg_18_rh.Parcel_260"
"87","aseg_18_rh.Parcel_261"
"88","aseg_18_rh.Parcel_272"
"89","aseg_18_rh.Parcel_273"
"90","aseg_18_rh.Parcel_276"
"91","aseg_18_rh.Parcel_277"
"92","aseg_18_rh.Parcel_319"
"93","aseg_18_rh.Parcel_320"
"94","aseg_18_rh.Parcel_327"
"95","aseg_18_rh.Parcel_328"
"96","aseg_18_rh.R_a24_ROI"
"97","aseg_26_aseg_50"
"98","aseg_26_aseg_53"
"99","aseg_26_aseg_54"
"100","aseg_26_aseg_58"
"101","aseg_26_lh.L_a24_ROI"
"102","aseg_26_lh.Parcel_108"
"103","aseg_26_lh.Parcel_109"
"104","aseg_26_lh.Parcel_148"
"105","aseg_26_lh.Parcel_149"
"106","aseg_26_lh.Parcel_24"
"107","aseg_26_lh.Parcel_7"
"108","aseg_26_lh.Parcel_78"
"109","aseg_26_lh.Parcel_9"
"110","aseg_26_lh.Parcel_96"
"111","aseg_26_rh.Parcel_167"
"112","aseg_26_rh.Parcel_168"
"113","aseg_26_rh.Parcel_170"
"114","aseg_26_rh.Parcel_182"
"115","aseg_26_rh.Parcel_240"
"116","aseg_26_rh.Parcel_260"
"117","aseg_26_rh.Parcel_261"
"118","aseg_26_rh.Parcel_272"
"119","aseg_26_rh.Parcel_273"
"120","aseg_26_rh.Parcel_276"
"121","aseg_26_rh.Parcel_277"
"122","aseg_26_rh.Parcel_319"
"123","aseg_26_rh.Parcel_320"
"124","aseg_26_rh.Parcel_327"
"125","aseg_26_rh.Parcel_328"
"126","aseg_26_rh.R_a24_ROI"
"127","aseg_50_aseg_53"
"128","aseg_50_aseg_54"
"129","aseg_50_aseg_58"
"130","aseg_50_lh.L_a24_ROI"
"131","aseg_50_lh.Parcel_108"
"132","aseg_50_lh.Parcel_109"
"133","aseg_50_lh.Parcel_148"
"134","aseg_50_lh.Parcel_149"
"135","aseg_50_lh.Parcel_24"
"136","aseg_50_lh.Parcel_7"
"137","aseg_50_lh.Parcel_78"
"138","aseg_50_lh.Parcel_9"
"139","aseg_50_lh.Parcel_96"
"140","aseg_50_rh.Parcel_167"
"141","aseg_50_rh.Parcel_168"
"142","aseg_50_rh.Parcel_170"
"143","aseg_50_rh.Parcel_182"
"144","aseg_50_rh.Parcel_240"
"145","aseg_50_rh.Parcel_260"
"146","aseg_50_rh.Parcel_261"
"147","aseg_50_rh.Parcel_272"
"148","aseg_50_rh.Parcel_273"
"149","aseg_50_rh.Parcel_276"
"150","aseg_50_rh.Parcel_277"
"151","aseg_50_rh.Parcel_319"
"152","aseg_50_rh.Parcel_320"
"153","aseg_50_rh.Parcel_327"
"154","aseg_50_rh.Parcel_328"
"155","aseg_50_rh.R_a24_ROI"
"156","aseg_53_aseg_54"
"157","aseg_53_aseg_58"
"158","aseg_53_lh.L_a24_ROI"
"159","aseg_53_lh.Parcel_108"
"160","aseg_53_lh.Parcel_109"
"161","aseg_53_lh.Parcel_148"
"162","aseg_53_lh.Parcel_149"
"163","aseg_53_lh.Parcel_24"
"164","aseg_53_lh.Parcel_7"
"165","aseg_53_lh.Parcel_78"
"166","aseg_53_lh.Parcel_9"
"167","aseg_53_lh.Parcel_96"
"168","aseg_53_rh.Parcel_167"
"169","aseg_53_rh.Parcel_168"
"170","aseg_53_rh.Parcel_170"
"171","aseg_53_rh.Parcel_182"
"172","aseg_53_rh.Parcel_240"
"173","aseg_53_rh.Parcel_260"
"174","aseg_53_rh.Parcel_261"
"175","aseg_53_rh.Parcel_272"
"176","aseg_53_rh.Parcel_273"
"177","aseg_53_rh.Parcel_276"
"178","aseg_53_rh.Parcel_277"
"179","aseg_53_rh.Parcel_319"
"180","aseg_53_rh.Parcel_320"
"181","aseg_53_rh.Parcel_327"
"182","aseg_53_rh.Parcel_328"
"183","aseg_53_rh.R_a24_ROI"
"184","aseg_54_aseg_58"
"185","aseg_54_lh.L_a24_ROI"
"186","aseg_54_lh.Parcel_108"
"187","aseg_54_lh.Parcel_109"
"188","aseg_54_lh.Parcel_148"
"189","aseg_54_lh.Parcel_149"
"190","aseg_54_lh.Parcel_24"
"191","aseg_54_lh.Parcel_7"
"192","aseg_54_lh.Parcel_78"
"193","aseg_54_lh.Parcel_9"
"194","aseg_54_lh.Parcel_96"
"195","aseg_54_rh.Parcel_167"
"196","aseg_54_rh.Parcel_168"
"197","aseg_54_rh.Parcel_170"
"198","aseg_54_rh.Parcel_182"
"199","aseg_54_rh.Parcel_240"
"200","aseg_54_rh.Parcel_260"
"201","aseg_54_rh.Parcel_261"
"202","aseg_54_rh.Parcel_272"
"203","aseg_54_rh.Parcel_273"
"204","aseg_54_rh.Parcel_276"
"205","aseg_54_rh.Parcel_277"
"206","aseg_54_rh.Parcel_319"
"207","aseg_54_rh.Parcel_320"
"208","aseg_54_rh.Parcel_327"
"209","aseg_54_rh.Parcel_328"
"210","aseg_54_rh.R_a24_ROI"
"211","aseg_58_lh.L_a24_ROI"
"212","aseg_58_lh.Parcel_108"
"213","aseg_58_lh.Parcel_109"
"214","aseg_58_lh.Parcel_148"
"215","aseg_58_lh.Parcel_149"
"216","aseg_58_lh.Parcel_24"
"217","aseg_58_lh.Parcel_7"
"218","aseg_58_lh.Parcel_78"
"219","aseg_58_lh.Parcel_9"
"220","aseg_58_lh.Parcel_96"
