"","coi"
"1","aseg_11_aseg_17"
"2","aseg_11_aseg_18"
"3","aseg_11_aseg_26"
"4","aseg_11_aseg_50"
"5","aseg_11_aseg_53"
"6","aseg_11_aseg_54"
"7","aseg_11_aseg_58"
"8","aseg_11_lh.L_a24_ROI"
"9","aseg_11_lh.Parcel_29"
"10","aseg_11_lh.Parcel_83"
"11","aseg_11_rh.Parcel_183"
"12","aseg_11_rh.Parcel_247"
"13","aseg_11_rh.R_a24_ROI"
"14","aseg_17_aseg_18"
"15","aseg_17_aseg_26"
"16","aseg_17_aseg_50"
"17","aseg_17_aseg_53"
"18","aseg_17_aseg_54"
"19","aseg_17_aseg_58"
"20","aseg_17_lh.L_a24_ROI"
"21","aseg_17_lh.Parcel_29"
"22","aseg_17_lh.Parcel_83"
"23","aseg_17_rh.Parcel_183"
"24","aseg_17_rh.Parcel_247"
"25","aseg_17_rh.R_a24_ROI"
"26","aseg_18_aseg_26"
"27","aseg_18_aseg_50"
"28","aseg_18_aseg_53"
"29","aseg_18_aseg_54"
"30","aseg_18_aseg_58"
"31","aseg_18_lh.L_a24_ROI"
"32","aseg_18_lh.Parcel_29"
"33","aseg_18_lh.Parcel_83"
"34","aseg_18_rh.Parcel_183"
"35","aseg_18_rh.Parcel_247"
"36","aseg_18_rh.R_a24_ROI"
"37","aseg_26_aseg_50"
"38","aseg_26_aseg_53"
"39","aseg_26_aseg_54"
"40","aseg_26_aseg_58"
"41","aseg_26_lh.L_a24_ROI"
"42","aseg_26_lh.Parcel_29"
"43","aseg_26_lh.Parcel_83"
"44","aseg_26_rh.Parcel_183"
"45","aseg_26_rh.Parcel_247"
"46","aseg_26_rh.R_a24_ROI"
"47","aseg_50_aseg_53"
"48","aseg_50_aseg_54"
"49","aseg_50_aseg_58"
"50","aseg_50_lh.L_a24_ROI"
"51","aseg_50_lh.Parcel_29"
"52","aseg_50_lh.Parcel_83"
"53","aseg_50_rh.Parcel_183"
"54","aseg_50_rh.Parcel_247"
"55","aseg_50_rh.R_a24_ROI"
"56","aseg_53_aseg_54"
"57","aseg_53_aseg_58"
"58","aseg_53_lh.L_a24_ROI"
"59","aseg_53_lh.Parcel_29"
"60","aseg_53_lh.Parcel_83"
"61","aseg_53_rh.Parcel_183"
"62","aseg_53_rh.Parcel_247"
"63","aseg_53_rh.R_a24_ROI"
"64","aseg_54_aseg_58"
"65","aseg_54_lh.L_a24_ROI"
"66","aseg_54_lh.Parcel_29"
"67","aseg_54_lh.Parcel_83"
"68","aseg_54_rh.Parcel_183"
"69","aseg_54_rh.Parcel_247"
"70","aseg_54_rh.R_a24_ROI"
"71","aseg_58_lh.L_a24_ROI"
"72","aseg_58_lh.Parcel_29"
"73","aseg_58_lh.Parcel_83"
"74","aseg_58_rh.Parcel_183"
"75","aseg_58_rh.Parcel_247"
"76","aseg_58_rh.R_a24_ROI"
"77","lh.L_a24_ROI_lh.Parcel_29"
"78","lh.L_a24_ROI_lh.Parcel_83"
"79","lh.L_a24_ROI_rh.Parcel_183"
"80","lh.L_a24_ROI_rh.Parcel_247"
"81","lh.L_a24_ROI_rh.R_a24_ROI"
"82","lh.Parcel_29_rh.R_a24_ROI"
"83","lh.Parcel_83_rh.R_a24_ROI"
"84","rh.Parcel_183_rh.R_a24_ROI"
"85","rh.Parcel_247_rh.R_a24_ROI"
