"","coi"
"1","aseg_11_aseg_17"
"2","aseg_11_aseg_18"
"3","aseg_11_aseg_26"
"4","aseg_11_aseg_50"
"5","aseg_11_aseg_53"
"6","aseg_11_aseg_54"
"7","aseg_11_aseg_58"
"8","aseg_11_lh.L_a24_ROI"
"9","aseg_11_lh.Parcel_1"
"10","aseg_11_lh.Parcel_114"
"11","aseg_11_lh.Parcel_116"
"12","aseg_11_lh.Parcel_117"
"13","aseg_11_lh.Parcel_126"
"14","aseg_11_lh.Parcel_127"
"15","aseg_11_lh.Parcel_145"
"16","aseg_11_lh.Parcel_146"
"17","aseg_11_lh.Parcel_150"
"18","aseg_11_lh.Parcel_151"
"19","aseg_11_lh.Parcel_152"
"20","aseg_11_lh.Parcel_154"
"21","aseg_11_lh.Parcel_156"
"22","aseg_11_lh.Parcel_157"
"23","aseg_11_lh.Parcel_25"
"24","aseg_11_lh.Parcel_26"
"25","aseg_11_lh.Parcel_4"
"26","aseg_11_lh.Parcel_44"
"27","aseg_11_lh.Parcel_6"
"28","aseg_11_lh.Parcel_94"
"29","aseg_11_rh.Parcel_162"
"30","aseg_11_rh.Parcel_165"
"31","aseg_11_rh.Parcel_184"
"32","aseg_11_rh.Parcel_186"
"33","aseg_11_rh.Parcel_200"
"34","aseg_11_rh.Parcel_220"
"35","aseg_11_rh.Parcel_225"
"36","aseg_11_rh.Parcel_257"
"37","aseg_11_rh.Parcel_259"
"38","aseg_11_rh.Parcel_278"
"39","aseg_11_rh.Parcel_279"
"40","aseg_11_rh.Parcel_290"
"41","aseg_11_rh.Parcel_315"
"42","aseg_11_rh.Parcel_316"
"43","aseg_11_rh.Parcel_321"
"44","aseg_11_rh.Parcel_322"
"45","aseg_11_rh.Parcel_323"
"46","aseg_11_rh.Parcel_324"
"47","aseg_11_rh.Parcel_325"
"48","aseg_11_rh.Parcel_326"
"49","aseg_11_rh.Parcel_331"
"50","aseg_11_rh.R_a24_ROI"
"51","aseg_17_aseg_18"
"52","aseg_17_aseg_26"
"53","aseg_17_aseg_50"
"54","aseg_17_aseg_53"
"55","aseg_17_aseg_54"
"56","aseg_17_aseg_58"
"57","aseg_17_lh.L_a24_ROI"
"58","aseg_17_lh.Parcel_1"
"59","aseg_17_lh.Parcel_114"
"60","aseg_17_lh.Parcel_116"
"61","aseg_17_lh.Parcel_117"
"62","aseg_17_lh.Parcel_126"
"63","aseg_17_lh.Parcel_127"
"64","aseg_17_lh.Parcel_145"
"65","aseg_17_lh.Parcel_146"
"66","aseg_17_lh.Parcel_150"
"67","aseg_17_lh.Parcel_151"
"68","aseg_17_lh.Parcel_152"
"69","aseg_17_lh.Parcel_154"
"70","aseg_17_lh.Parcel_156"
"71","aseg_17_lh.Parcel_157"
"72","aseg_17_lh.Parcel_25"
"73","aseg_17_lh.Parcel_26"
"74","aseg_17_lh.Parcel_4"
"75","aseg_17_lh.Parcel_44"
"76","aseg_17_lh.Parcel_6"
"77","aseg_17_lh.Parcel_94"
"78","aseg_17_rh.Parcel_162"
"79","aseg_17_rh.Parcel_165"
"80","aseg_17_rh.Parcel_184"
"81","aseg_17_rh.Parcel_186"
"82","aseg_17_rh.Parcel_200"
"83","aseg_17_rh.Parcel_220"
"84","aseg_17_rh.Parcel_225"
"85","aseg_17_rh.Parcel_257"
"86","aseg_17_rh.Parcel_259"
"87","aseg_17_rh.Parcel_278"
"88","aseg_17_rh.Parcel_279"
"89","aseg_17_rh.Parcel_290"
"90","aseg_17_rh.Parcel_315"
"91","aseg_17_rh.Parcel_316"
"92","aseg_17_rh.Parcel_321"
"93","aseg_17_rh.Parcel_322"
"94","aseg_17_rh.Parcel_323"
"95","aseg_17_rh.Parcel_324"
"96","aseg_17_rh.Parcel_325"
"97","aseg_17_rh.Parcel_326"
"98","aseg_17_rh.Parcel_331"
"99","aseg_17_rh.R_a24_ROI"
"100","aseg_18_aseg_26"
"101","aseg_18_aseg_50"
"102","aseg_18_aseg_53"
"103","aseg_18_aseg_54"
"104","aseg_18_aseg_58"
"105","aseg_18_lh.L_a24_ROI"
"106","aseg_18_lh.Parcel_1"
"107","aseg_18_lh.Parcel_114"
"108","aseg_18_lh.Parcel_116"
"109","aseg_18_lh.Parcel_117"
"110","aseg_18_lh.Parcel_126"
"111","aseg_18_lh.Parcel_127"
"112","aseg_18_lh.Parcel_145"
"113","aseg_18_lh.Parcel_146"
"114","aseg_18_lh.Parcel_150"
"115","aseg_18_lh.Parcel_151"
"116","aseg_18_lh.Parcel_152"
"117","aseg_18_lh.Parcel_154"
"118","aseg_18_lh.Parcel_156"
"119","aseg_18_lh.Parcel_157"
"120","aseg_18_lh.Parcel_25"
"121","aseg_18_lh.Parcel_26"
"122","aseg_18_lh.Parcel_4"
"123","aseg_18_lh.Parcel_44"
"124","aseg_18_lh.Parcel_6"
"125","aseg_18_lh.Parcel_94"
"126","aseg_18_rh.Parcel_162"
"127","aseg_18_rh.Parcel_165"
"128","aseg_18_rh.Parcel_184"
"129","aseg_18_rh.Parcel_186"
"130","aseg_18_rh.Parcel_200"
"131","aseg_18_rh.Parcel_220"
"132","aseg_18_rh.Parcel_225"
"133","aseg_18_rh.Parcel_257"
"134","aseg_18_rh.Parcel_259"
"135","aseg_18_rh.Parcel_278"
"136","aseg_18_rh.Parcel_279"
"137","aseg_18_rh.Parcel_290"
"138","aseg_18_rh.Parcel_315"
"139","aseg_18_rh.Parcel_316"
"140","aseg_18_rh.Parcel_321"
"141","aseg_18_rh.Parcel_322"
"142","aseg_18_rh.Parcel_323"
"143","aseg_18_rh.Parcel_324"
"144","aseg_18_rh.Parcel_325"
"145","aseg_18_rh.Parcel_326"
"146","aseg_18_rh.Parcel_331"
"147","aseg_18_rh.R_a24_ROI"
"148","aseg_26_aseg_50"
"149","aseg_26_aseg_53"
"150","aseg_26_aseg_54"
"151","aseg_26_aseg_58"
"152","aseg_26_lh.L_a24_ROI"
"153","aseg_26_lh.Parcel_1"
"154","aseg_26_lh.Parcel_114"
"155","aseg_26_lh.Parcel_116"
"156","aseg_26_lh.Parcel_117"
"157","aseg_26_lh.Parcel_126"
"158","aseg_26_lh.Parcel_127"
"159","aseg_26_lh.Parcel_145"
"160","aseg_26_lh.Parcel_146"
"161","aseg_26_lh.Parcel_150"
"162","aseg_26_lh.Parcel_151"
"163","aseg_26_lh.Parcel_152"
"164","aseg_26_lh.Parcel_154"
"165","aseg_26_lh.Parcel_156"
"166","aseg_26_lh.Parcel_157"
"167","aseg_26_lh.Parcel_25"
"168","aseg_26_lh.Parcel_26"
"169","aseg_26_lh.Parcel_4"
"170","aseg_26_lh.Parcel_44"
"171","aseg_26_lh.Parcel_6"
"172","aseg_26_lh.Parcel_94"
"173","aseg_26_rh.Parcel_162"
"174","aseg_26_rh.Parcel_165"
"175","aseg_26_rh.Parcel_184"
"176","aseg_26_rh.Parcel_186"
"177","aseg_26_rh.Parcel_200"
"178","aseg_26_rh.Parcel_220"
"179","aseg_26_rh.Parcel_225"
"180","aseg_26_rh.Parcel_257"
"181","aseg_26_rh.Parcel_259"
"182","aseg_26_rh.Parcel_278"
"183","aseg_26_rh.Parcel_279"
"184","aseg_26_rh.Parcel_290"
"185","aseg_26_rh.Parcel_315"
"186","aseg_26_rh.Parcel_316"
"187","aseg_26_rh.Parcel_321"
"188","aseg_26_rh.Parcel_322"
"189","aseg_26_rh.Parcel_323"
"190","aseg_26_rh.Parcel_324"
"191","aseg_26_rh.Parcel_325"
"192","aseg_26_rh.Parcel_326"
"193","aseg_26_rh.Parcel_331"
"194","aseg_26_rh.R_a24_ROI"
"195","aseg_50_aseg_53"
"196","aseg_50_aseg_54"
"197","aseg_50_aseg_58"
"198","aseg_50_lh.L_a24_ROI"
"199","aseg_50_lh.Parcel_1"
"200","aseg_50_lh.Parcel_114"
"201","aseg_50_lh.Parcel_116"
"202","aseg_50_lh.Parcel_117"
"203","aseg_50_lh.Parcel_126"
"204","aseg_50_lh.Parcel_127"
"205","aseg_50_lh.Parcel_145"
"206","aseg_50_lh.Parcel_146"
"207","aseg_50_lh.Parcel_150"
"208","aseg_50_lh.Parcel_151"
"209","aseg_50_lh.Parcel_152"
"210","aseg_50_lh.Parcel_154"
"211","aseg_50_lh.Parcel_156"
"212","aseg_50_lh.Parcel_157"
"213","aseg_50_lh.Parcel_25"
"214","aseg_50_lh.Parcel_26"
"215","aseg_50_lh.Parcel_4"
"216","aseg_50_lh.Parcel_44"
"217","aseg_50_lh.Parcel_6"
"218","aseg_50_lh.Parcel_94"
"219","aseg_50_rh.Parcel_162"
"220","aseg_50_rh.Parcel_165"
